id,title,abstract,category_1,category_2
10.31234/osf.io/my3ra,Uncovering Heart Rate Response Patterns to Threat Pictures through Deep Latent Representation Learning with a Variational Autoencoder,"Group-level averaging of psychophysiological data often obscures meaningful individual differences, masking response patterns that may explain variability in behavior and central nervous system activi...",,
10.31234/osf.io/j9rmz,A Neural State-Space for Episodic Memories,Episodic memories are highly dynamic and change in non-linear ways over time. This dynamism isn’t captured by existing systems consolidation theories that predict a unidirectional process where memori...,Episodic Memory,
10.31234/osf.io/tycvx,Exploring flicker light mechanisms: No evidence that MEG signal diversity relates to subjective experience,"Stroboscopic flashing light with white noise can induce a mild altered state of consciousness (ASC), with some effects similar to sensory deprivation and moderate doses of psychedelic substances. Howe...",,
10.31234/osf.io/e6tdy,"Conscious awareness, sensory integration, and evidence accumulation in bodily self-perception","Conscious awareness refers to the subjective experience of perceiving, thinking, and feeling, along with the ability to report these experiences. These perceptions and thoughts are experienced as boun...",Multisensory Integration,Self-reflection
10.31234/osf.io/2t579,Artificial Intelligence Circumvents Identity-Driven Biases in Source Selection,"Social identity profoundly shapes whom people choose as information sources, constraining exposure to diverse perspectives. While people are motivated to seek accurate information, they systematically...",Decision-making,
10.31234/osf.io/wqun9,Scanning Dos and Don’ts: Using Magnetic Resonance Imaging in Awake Young Children (3- to 5-years) to Assess Brain Structure and Function,Early childhood (3- to 5-years of age) is a period marked by significant developmental changes in the brain. This development underlies age-related improvements in several domains – including language...,,
10.31234/osf.io/kxf9a,Working Memory Impairment in Military Personnel,Working memory (WM) impairment has been known to affect cognitive function and impact the quality of life of affected individuals. Among the most prevalent causes for WM impairment affecting military ...,,
10.31234/osf.io/4yqp3,From brain networks to the patient-environment system in clinical neuroimaging,"Despite major advances in clinical neuroimaging, our understanding of how neural processes contribute to psychiatric disorders remains limited. Clinical imaging studies have focused on identifying mal...",,
10.31234/osf.io/n5zm9,Generalization from early to middle childhood,"Generalization enables individuals to apply knowledge derived from past experiences in novel situations, yet it is unclear whether common experimental paradigms probe the same underlying ability in ea...",,
10.31234/osf.io/gwt4p,"Sonoception: Synthetic auditory stimulation modulates inhibitory control, heart-brain interactions, and insular activity","We present a non-invasive stimulation technique called Sonoception that utilizes synthetic auditory frequencies at 6Hz and 2Hz to modulate behavioral, physiological, and neural responses in healthy hu...",Inhibitory Control,Autonomic Regulation
10.31234/osf.io/ruawg,Beyond the Size Tag: Clothing Influences on Body Image and Mood,"Clothing size labels have been shown to influence women's mood, self-esteem, and body satisfaction. This study examined the effects of different sizing nomenclatures—specifically color-based versus ca...",,
10.31234/osf.io/b4gdw,"""Electromagnetic Field Model of Global Neural Synchronization and Consciousness""","This paper presents an electromagnetic field model of global neural synchronization, exploring its potential role in consciousness phenomena. Using an extended Kuramoto framework with additional globa...",,
10.31234/osf.io/fa9dh,"The Psychophysiology of 'Yes, And' vs. 'Yes, But': The Effect of Acceptance, Rejection and Repetition during Improvised Dialogue","This study examined how acceptance, rejection, and repetition of social feedback shape implicit physiological responses and subjective stress evaluations in a naturalistic, fictional setting. Thirty-n...",,
10.31234/osf.io/mc8ks,Diffusion Tensor Imaging investigation of cerebral white matter in female offspring at high-risk for Eating Disorders,Background: Eating disorders (EDs) are severe psychiatric conditions with significant physical and psychosocial consequences. Emerging evidence suggests that EDs are associated with structural brain a...,,
10.31234/osf.io/2pk5j,Subjective and objective approaches in the study of conscious perception,"Science uses objective measurements to falsify predictions, whereas consciousness is thought to be intrinsically personal and subjective. Consequently, behavioral measures of consciousness are often d...",,
10.31234/osf.io/qga4w,Neural representations and behavioral markers of elementary logical processes in preverbal infants,"Infants learn by directly experiencing events, but also by drawing logical consequences from experienced events. While such inferential abilities help early knowledge acquisition, their computations a...",Logical Reasoning,
10.31234/osf.io/h3297,Cognitive training reduces the strength of Pavlovian biases,Pavlovian biases are patterns of behaviour that involve approaching stimuli associated with reward and avoiding those associated with punishment (regardless of whether this is actually optimal behavio...,Inhibitory Control,Decision-making
10.31234/osf.io/y5m8d,Investigating Emotional Reactivity in Experienced Users of Psychedelics: a cross-sectional fMRI study,"Classic psychedelics profoundly influence emotional states, eliciting intense acute emotional experiences followed by subtle, sustained changes in emotional reactivity lasting up to several weeks. Whi...",,
10.31234/osf.io/nqkws,Alpha and Theta Audiovisual Interventions in a Reflective Chamber Demonstrate Acute Effects on Stress and Burnout,"Escalating stress prevalence, particularly among essential service personnel whose cognitive compromise threatens public welfare, necessitates rapid, accessible, and non-pharmacological  interventions...",Arousal & Attention States,
10.31234/osf.io/zj6ey,A compressed code for memory discrimination,The ability to discriminate similar visual stimuli has been used as an important index of memory function. This ability is widely thought to be supported by expanding the dimensionality of relevant ne...,Episodic Memory,
10.31234/osf.io/9hp84,Investigating mechanisms &amp; monitoring outcomes in functional neurological disorder: The unrealised potential of digital remote monitoring technologies,"Functional neurological disorder (FND) is characterised by involuntary, distressing neurological symptoms that are distinguishable from other neurological diagnoses in presentation, aetiology and mech...",,
10.31234/osf.io/udwpb,Interpersonal neural synchrony in joint music-making and conversation: toward an integrative Marr-level account,Joint music-making and conversation are two fundamental forms of human interaction. A growing number of hyperscanning studies have examined interpersonal neural synchrony (INS) in music and language s...,,
10.31234/osf.io/bc7hp,Suboptimality in foraging and its association with age and mental health factors,"People constantly decide how much time to invest in more versus less rewarding activities. Foraging tasks, during which participants visit contexts with diminishing reward rates, examine this type of ...",Decision-making,
10.31234/osf.io/fcu2z,Behavioral techniques and AR technology to systematically control the brain activity outside of the laboratory,This study reviews the behavioral techniques that use the properties of visual stimuli to systematically control the activity of specific regions of an observer’s brain and proposes an Augmented Reali...,,
10.31234/osf.io/stgkn,Understanding variability in newborns' NIRS data: the impact of birth weight and gestational age on infants’ speech perception abilities,Significance: Language acquisition is a complex process already influenced by prenatal neural development and auditory experiences. From the third trimester fetuses perceive sounds already influencing...,Auditory Processing,
10.31234/osf.io/xy4qm,Effect of Particulate Matter Concentration on Cognitive Decline in Urban Adults Over 35 in India: A Pilot Study,"Neurodegenerative diseases, such as Alzheimer’s disease, are characterized by progressive cognitive decline and pose an increasing global health burden. While the link between air pollution and cognit...",,
10.31234/osf.io/gh9q8,Self-Utility Distance Predicts Perceived Stress and Affective Vulnerability,"Persistent misalignment between personal dispositions and environmental demands is known to undermine well-being, yet the mechanisms linking such misfit to psychological strain remain poorly specified...",,
10.31234/osf.io/3uces,When effort fails: Instances and reasons for effort-performance decoupling,"Across domains, more effort tends to beget better performance. This points towards effort-performance coupling as a domain-general phenomenon. However, across literatures, effort-performance relations...",,
10.31234/osf.io/2bv3x,"Multi-session CBM-I for Social Anxiety: Examining Psychopathology, Cognitive, Neural, and Psychophysiological Effects in a Randomized Controlled Trial","Cognitive Bias Modification – Interpretation (CBM-I) aims to alter maladaptive interpretations in social anxiety, yet effects are often small and outcome measures are diverse. Although CBM-I has shown...",,
10.31234/osf.io/jw5s3,"Neural correlates of reinforcement learning, working memory and choice dynamics: an EEG study on the RLWM task.",Recent research has aimed both to disentangle the cognitive mechanisms that support learning—particularly the roles of reinforcement learning (RL) and working memory (WM)—and to characterize the dynam...,Working Memory,Reward Mechanisms
10.31234/osf.io/yc9jw,"Non-commitment in mental imagery is distinct from perceptual inattention, and supports hierarchical scene construction","When calling an image before the mind's eye, people often do not include basic properties of the mental scene. For example, when imagining a person knocking a ball off a table, people may neglect to c...",Visual Perception,Working Memory
10.31234/osf.io/bxwgm,"Characterizing learning in anorexia nervosa: What do we know, and what is left to learn?","A growing body of research suggests that anorexia nervosa (AN) may be characterized by subtle alterations in learning that could relate to symptom maintenance and treatment outcomes. However, findings...",,
10.31234/osf.io/6qkvt,From Sampling to Stopping: The P300 ERP component and beta power contribute to reward-related decision commitments,"Optimal stopping problems provide a framework for studying decision-making under uncertainty, balancing the trade-off between information sampling and decision commitment. We investigated deviations f...",Decision-making,
10.31234/osf.io/zuvfd,The Cannabis Research Image Database (CRESIDA):  an internationally standardized and validated image set for studying cannabis cue-reactivity,"Abstract 
Background and Aims: Cannabis cue-reactivity paradigms are instrumental to study the behavioral and neurocognitive mechanisms of cannabis use and cannabis use disorders. However, image sets ...",,
10.31234/osf.io/kg5vp,The Reward Positivity Signals a Goal Prediction Error,The Reward Positivity (RewP) is an electroencephalographic feature that emerges following performance feedback and is commonly understood to index both positive and negative reward prediction error (R...,Reward Mechanisms,
10.31234/osf.io/6t9qg,Isolating domain-specific and domain-general contributions to global confidence,"While metacognition - our ability to evaluate our own cognitive processes - has been extensively studied by measuring trial-by-trial self-assessments of task performance (local confidence), real-world...",Self-reflection,
10.31234/osf.io/26pj9,How multiple learning systems contribute to naturalistic patch foraging,"Optimal patch foraging requires the ability to discern valuable resources and harvest them efficiently. This process requires integrating across multiple learning systems, including perceptual, struct...",Reward Mechanisms,Lifelong Learning
10.31234/osf.io/fqwe8,Embodied speech: sensorimotor contributions to native and non-native phoneme processing and learning,"Learning to recognize and produce foreign speech sounds can be challenging, particularly when only subtle differences distinguish these new sounds from phonemes in the native language. Functional neur...",,
10.31234/osf.io/92k7v,"A Physiology-First, Execution-Efficiency Framework for Psychiatric Disorders: Retraining Intact Learning Trajectories","Current psychiatric diagnosis and intervention rely on a reductionist paradigm: symptoms are abstracted into static categories (DSM, ICD), and features such as neurotransmitter abnormalities, cognitiv...",,
10.31234/osf.io/ve93u,Wind-like sonification of footsteps to support walking rehabilitation in chronic stroke patients: A multiple case study,"Gait impairments following stroke are prevalent and persistent, often affecting walking ability, body perception, and quality of life. Movement sonification—mapping body motion to sound—has shown prom...",,
10.31234/osf.io/h42tb,Uncovering the semantics of teaching in experiential learning with Large Language Models,"Language is the cornerstone of teaching, but we still lack principled ways to identify what makes
explanations effective in terms of their composition. In a two-stage behavioural paradigm,
“Teacher” p...",,
10.31234/osf.io/3ng4z,"The Healing Power of Creativity:  Neurobiological Pathways to Health and Well-Being Across the Lifespan in Music, Arts, Dance, Drama, Imagery, Gardening, Writing, and Robotics","Creativity is increasingly recognized as a vital contributor to human health and well-being. This review explores how diverse creative activities and therapies—including music, arts, dance, drama, ima...",,
10.31234/osf.io/uxrwy,Enhancing Meditative Development with Transcranial Focused Ultrasound: A Mixed-Methods Phenomenological Study of Neuromodulation in Experienced Meditators During a Ten-Day Retreat,"Emerging research suggests some of the most profound meditation-induced psychological transformations require mastery of mental skills that enable access to advanced meditative states, stages, and end...",,
10.31234/osf.io/bjthn,The Cerebellum in Erotic Intimation and Epileptic Aura: Precision Calibration at Threshold,"Masters and Johnson (1966) described intimation, the pre-orgasmic state of visceral awareness and imminent climax, as a distinctive phase of present-moment attunement. In epilepsy, aura denotes an ant...",,
10.31234/osf.io/gm7zf,A Hitchhiker’s guide to physical and cognitive effort,"Effort is integral to the regulation of behavior. It can be central for achieving goals in a range of activities, including sports, exercise, learning, and work. For centuries, researchers have tried ...",,
10.31234/osf.io/w5yqk,DevStart: A Cognitive Scientist’s Guide to Open Tools and Methods,"Open-science practices are a key component in advancing research transparency, as they facilitate reproducibility, accessibility, and collaboration across the scientific community. Nevertheless, signi...",,
10.31234/osf.io/wb3rf,Maternal touch and infant’s brain responses to affective and discriminative touch: an fNIRS Study,"Recently, we found evidence that activation to affective touch in right Superior Temporal Sulcus (rSTS) can be detected at 12 months. Here we report, using a preexisting longitudinal dataset, that the...",Tactile Perception,
10.31234/osf.io/u379a,Covert imitation acts as an adaptive reflexive gain control system in non-native speech perception,"Current accounts posit that heard speech is covertly imitated to optimise speech perception. Behaviourally, covert imitation is measured using the stimulus-response compatibility (SRC) paradigm. In a ...",Auditory Processing,
10.31234/osf.io/w2buz,Transcranial direct current stimulation over the ventrolateral prefrontal cortex in intoxicated individuals during anger regulation,Acute alcohol consumption impairs anger regulation by disrupting prefrontal cortical activity. We tested whether transcranial direct current stimulation (tDCS) over the right ventrolateral prefrontal ...,Inhibitory Control,
10.31234/osf.io/3wvcy,EEG-Based Brain Age Prediction,"This study examines the potential of combining electroencephalography (EEG) with machine
learning to estimate brain age as a scalable, cost-effective alternative to MRI-based approaches.
Using the Res...",,
10.31234/osf.io/r7bvq,Imagery Deficits as an Under-Recognized Consequence of Childhood Trauma,"Childhood trauma is highly prevalent, affecting over half of adults, yet its impact on mental imagery remains largely unexplored. Here we report a novel link between childhood adversity and impaired m...",,
10.31234/osf.io/jcs3t,Transdiagnostic psychopathology dimensions and cognitive functioning after traumatic brain injury: An application of the HiTOP-TBI model,"Background: Psychopathology and cognitive impairment are common consequences of moderate-severe traumatic brain injury (TBI), but their interrelationships remain poorly understood. Clarifying these re...",,
10.31234/osf.io/g2rej,Time to listen: Harnessing podcasts for stakeholder engagement in circadian and sleep science,"Circadian and sleep research is expanding across molecular, clinical, and applied domains, creating both opportunities and communication gaps. This article examines podcasting as a promising medium fo...",,
10.31234/osf.io/5nx48,Toward a Synergetic Account of Xenoglossy-like Emergence: Order-Parameter Dynamics and Testable Predictions for Rapid Language Acquisition,"This paper proposes a synergetic model for understanding xenoglossy-like rapid language
emergence, using Haken's synergetics to describe self-organizing neural dynamics that could
enable seemingly spo...",Language Comprehension,
10.31234/osf.io/asdpu,Guiding principles for shaping instructed behaviors in lab rodents,Developing an integrated understanding of brain function demands to probe and alter neural activity in behaving animals. Although rodent species were initially considered ill-suited for studying the n...,,
10.31234/osf.io/9eqtp,Analysis of Conceptual Overlap Among Formal Thought Disorder Rating Scales in Psychosis: A Systematic Semantic Synthesis,"Measuring Formal Thought Disorder (FTD), a common, cross-diagnosed symptom dimension across mental disorders, is plagued by numerous inconsistencies. Clinicians use either FTD-specific scales or items...",,
10.31234/osf.io/2b5ah,Transition Dynamics Between Exploration and Exploitation Predicts Individual Differences in Coping Strategy,"Adaptive decision-making requires balancing exploitation of known rewarding options with exploration of uncertain alternatives, a dilemma also known as the exploration-exploitation tradeoff. While thi...",Decision-making,Cognitive Flexibility
10.31234/osf.io/fqwp9,Do AIs Dream of Electric Butterflies? Benchmarking LLM Consciousness via Theory-Grounded Self-Reports,"Are state-of-the-art large language models conscious, or capable of anything like consciousness? We introduce ConsciousnessBench: the first systematic benchmark designed to empirically evaluate consci...",,
10.31234/osf.io/dynsb,Borderline Personality Disorder and Anorexia Nervosa: A Theoretical Review of Shared Psychopathology with a Conceptual Framework,"Anorexia nervosa and borderline personality disorder are both often characterized by a chronic, long-term course and high premature mortality. Despite their severity and overlapping clinical features ...",,
10.31234/osf.io/b8zew,"Subconscious prediction of external signals during mind-wandering, but not focused attention, mental states. N-of-1 study.","This publication represents a “N-of-1” study where experiments were designed and performed by the same person. The data were collected and analyzed, considering all the necessary statistical requireme...",Attention,Cognitive Timing & Predictive Modeling
10.31234/osf.io/49axr,Cortico-subcortical neural timescale alignment underlies speech recognition in noise,Speech recognition recruits the auditory-language brain system for accurate segregation and integration of complex linguistic information that consists of various acoustic signals with various timesca...,Auditory Processing,Language Comprehension
10.31234/osf.io/uwr7j,Whole number interference in rational number processing: Neuroimaging evidence from decimal comparison,"Relative to fractions, decimal numbers are thought to be easier for students to learn because they employ the base-10 system as whole numbers. However, unlike whole numbers, larger decimals can have f...",Inhibitory Control,Semantic Understanding & Context Recognition
10.31234/osf.io/z4yqe,Clarifying the reliability paradox: poor measurement reliability attenuates group differences,"Cognitive sciences are grappling with the reliability paradox: measures that robustly produce within-group effects tend to have low test-retest reliability, rendering them unsuitable for studying indi...",,
10.31234/osf.io/n3xpv,Suppressing Emotional Memories,"Emotional memories enrich our lives by anchoring us to meaningful past events, but they can also become intrusive and distressing, particularly in psychiatric conditions. This chapter discusses retrie...",Inhibitory Control,Episodic Memory
10.31234/osf.io/mqyrz,Investigating ethnicity-related variability in the human L-cone spectral sensitivity function,"The human cone photoreceptor spectral sensitivities can differ between individuals. Large changes give rise to colour vision deficiencies, but even among colour-normals there is systematic individual ...",,
10.31234/osf.io/ya32p,Threat-Relevant Stimuli Enhance Autonomic Arousal Without Widening Generalization,"Inherently threatening stimuli have consistently been shown to resist extinction. Despite recent findings suggesting that defensive responses can generalize to safe but threat-relevant stimuli, it is ...",Autonomic Regulation,
10.31234/osf.io/u8y6f,Recursive self-models and minimal phenomenal experience,"Minimal phenomenal experience (MPE) is characterized as a state of pure awareness stripped of conceptual content, and serves as a methodological tool for probing the mechanisms underlying consciousnes...",Self-reflection,
10.31234/osf.io/khvn6,Pre-Sapio-Abstraction: Toward Unifying the Mechanistic Co-Emergence of Consciousness,"Pre-Sapio-Abstraction (PSA) introduces a novel internalist framework that addresses the interdependent co-emergence of recursive cognition, memory expansion, and self-referential consciousness (RMC) t...",,
10.31234/osf.io/dcms2,A Study Protocol for Assessing the Impact of Improvisation Training on Interpersonal Synchrony Across Age and Expertise (ImproSynchrony Project),"Background: Theatre improvisation provides a psychologically safe environment for practicing adaptive interpersonal behaviour, which can enhance interpersonal competence and reduce psychosocial stress...",Social Functions,
10.31234/osf.io/txewf,Nature is nurture: a pilot study of neural correlates of healthy cognition and environmental predictors in children attending a nature-based public school,"Though the physical health benefits of childhood nature exposure are well-documented, the specific mechanisms linking nature and healthy cognitive development remain underexplored. One promising tool ...",Working Memory,Cognitive Flexibility
10.31234/osf.io/w23yz,Progress and perspectives on developmental language and reading disorders,"Why do some children learn to read or talk more easily than others? We review recent advances in genetics, neuroscience, cognition, and intervention research. About half of the variation in language a...",,
10.31234/osf.io/df7a8,"Quantum consciousness, brains, and cognition","Quantum consciousness concerns both the possible role that quantum mechanics
has for understanding consciousness as well as the role that consciousness
has for interpreting quantum physics. Quantum br...",,
10.31234/osf.io/2hjq6,Meditative absorption shifts brain dynamics toward criticality,"Criticality describes a regime between order and chaos that supports flexible yet stable information
processing. Here we examine whether neural dynamics can be volitionally shifted toward
criticality ...",Arousal & Attention States,Attention
10.31234/osf.io/b5yuv,Bloch strikes back: a reassessment of the intensity-duration reciprocity.,"Perceiving a brief visual stimulus depends on both its intensity and its exposure duration.
These two parameters are in a reciprocal relationship, such that doubling the duration and
halving the inten...",Visual Perception,
10.31234/osf.io/tpvjs,Exploring the impact of attention and sensory processing abilities on vocal motor control in children,"Auditory feedback plays a critical role in developing and maintaining fluent speech. Although children are theorized to rely heavily on their auditory feedback, previous experimental studies are incon...",Sensorimotor Coordination,Attention
10.31234/osf.io/af9hn,Cerebellum-Cerebrum Dynamics During Gaze Processing in Schizophrenia: Evidence for Social-Cognitive Modulation and Associations with Social Functioning Across Independent Samples,Background: Individuals with schizophrenia have prominent impairments in social cognition that contribute to poor functional outcomes. Gaze processing – the social-cognitive ability to accurately perc...,Theory of Mind,
10.31234/osf.io/bw7xc,The Symbol of Time: Efficiency of shape stimuli drives time estimates,"Visual stimuli are known to vary in their perceived duration, with a variety of features, including both high and low level, shaping temporal responses. For example, the size, memorability, or numeros...",,
10.31234/osf.io/v8fhu,Designing “Mission Control”: An Immersive VR Simulation to Improve Pediatric MRI Experiences,"Children’s participation in neuroscience and neuroimaging research is often limited, especially when magnetic resonance imaging (MRI) is involved, due to confined spaces, loud noises, and the need for...",,
10.5281/zenodo.17192116,Frictionless UX: When the Brain and Interface Work as One,"Problem Statement
Despite their effectiveness, modern principles of user interface design represent a
collection of separate rules without a unified theoretical foundation. This creates diffi-
culties...",,
10.31234/osf.io/u7fxz,"An Integration Model of Mental Imagery and Aphantasia: Conceptual Framework, Neuromechanistic Pathways, and Clinical Implications","Aphantasia, the strong diminution or complete absence of mental imagery, challenges long-standing views of imagery as central to cognition. Competing accounts variously explain the phenomenon as a fai...",,
10.31234/osf.io/a5cgq,Learning with Others: teacher-learner brain synchrony depends on mutual gaze and joint attention,"Successful learning often emerges through social interaction: what are the neural and behavioural systems that support this process? This ecological, multimodal study combines functional near-infrared...",Social Functions,
10.31234/osf.io/qzv47,Trait-level Attention Control Emerges from Dynamic Frontoparietal Control Network Interactions,"Attention control predicts academic achievement, professional success, and health outcomes. However, the neural basis of stable, trait-level differences in attention control remains unclear. Prior res...",Attention,Working Memory
10.31234/osf.io/s7ptu,Beyond Computational Equivalence: The Behavioral Inference Principle for Machine Consciousness,"Large Language Models (LLMs) have rapidly become a central topic in AI and cognitive science, due to their unprecedented performance in a vast array of tasks. Indeed, some even see 'sparks of artifici...",,
10.31234/osf.io/s7b2f,Four Sources of Pleasure Associated with the Experience of Groove,"Human behaviour is largely driven by the desire to maximize pleasure. Music, in both perception and production, is a uniquely powerful source of pleasure, engaging cognitive, bodily, psychological, an...",Reward Mechanisms,
10.31234/osf.io/jrguk,Oxytocin increases trust in humans with a low disposition to trust,"In recent years, increasing skepticism regarding oxytocin’s (OT) influence on social behavior arose. Low power, HARKing (hypothesizing after the results are known), and replication failures have cloud...",Social Functions,
10.31234/osf.io/tgdj4,Test–retest reliability of eye-tracking metrics for the measurement and classification of sign- trackers and goal-trackers,"Reward-predictive cues shape behavior through Pavlovian conditioning, yet individuals vary in the value they assign to these cues. Sign-trackers (ST) attribute both incentive and predictive values to ...",Reward Mechanisms,Visual Attention and Eye Movements
10.31234/osf.io/um9fe,Modality-General Sensitivity of Pupil Responses to Regularity Violations,"Pupil dilation responses are reliable physiological markers of arousal in reaction to unexpected events across sensory modalities. However, a direct comparison across modalities has not yet been condu...",Arousal & Attention States,
10.31234/osf.io/vntcr,From Dissonance to Resonance: The Transformation of the Self through the Alteration of Core Beliefs,This paper introduces the Resonance-Inference Model (RIM) as an integrative meta-theory to explain the mechanisms of profound and sustainable personal transformation. It addresses the fundamental ques...,,
10.1016/j.chbr.2025.100663,A unified conceptual model of immersive experience in extended reality,"The term ""immersion"" is frequently used to describe and evaluate technologies within the field of extended reality (XR), which encompasses virtual, augmented, and mixed reality. Over the past few deca...",,
10.31234/osf.io/8sp97,Apathy in Older Adults is Associated with a Selective Over-Weighting of Effort in Everyday Decisions,"Apathy, characterized by reduced motivation and goal-directed behavior, is common in normal aging and may arise from biases cost-benefit evaluation during decision making. While prior research has foc...",Decision-making,
10.31234/osf.io/2tfwb,"Dose-Response Relationships in Transcranial Brain Stimulation: TMS, tES, tFUS and ECT","The use of noninvasive transcranial brain stimulation methods—such as transcranial electrical stimulation (tES), transcranial magnetic stimulation (TMS), transcranial focused ultrasound stimulation (t...",,
10.31234/osf.io/md9yf,Neural Gender Stereotype Asymmetry in Bidirectional Word-Face Priming,"This study investigates the behavioral and neural correlates of implicit and automatic gender stereotyping at the intersection of language and face processing, focusing on the bidirectional flow of ge...",Semantic Understanding & Context Recognition,Face Recognition
10.31234/osf.io/pmgb7,Visual Perspective Shapes Subjective Experience: Dissociable Parietal Contributions to the Constructive Nature of Memory,"Subjective features of memory are often treated as secondary to the objective content of remembered events. However, growing evidence suggests that these features actively shape how memories are const...",Episodic Memory,Spatial Representation and Mapping
10.31234/osf.io/kqb32,The Entropy–Content Paradox in Minimal Phenomenal Experience,"Minimal Phenomenal Experiences (MPEs) present a paradox for theories of consciousness.
Defined by phenomenological simplicity, they are nonetheless accompanied by unexpectedly high
neural signal diver...",,
10.31234/osf.io/egh9v,System-Wide Hierarchical Coupling of Brain and Body Rhythms Under State and Latent Stress,"The present study assessed harmonic locking, the coordination of frequency that enables cross-frequency phase synchrony, between the EEG, heart rate, and breathing frequency. In two state-based experi...",Autonomic Regulation,Arousal & Attention States
10.31234/osf.io/zpgjy,Corticobulbar Excitability in Parkinson’s Disease: Evidence from TMS-Evoked Potentials of Submental Muscles,"Background. The corticobulbar (CB) tract links the motor cortex with orofacial muscles and is closely associated with motivational arousal and reward-related processing. In Parkinson’s disease (PD), w...",,
10.31234/osf.io/4bjxp,Corticobulbar Activity and Motivational Arousal in Healthy Participants,"Background. Corticobulbar (CB) projections linking tongue/submental effectors to motor cortex are implicated in reward processing and motivational arousal (Alipour et al., 2002; Kringelbach et al., 20...",Motivational Drives,Reward Mechanisms
10.31234/osf.io/yhavc,Synergistic Correlates of Self-Dissolution in Meditation: Global Increases and Selective Reductions in Neural Complexity,"A fundamental aspect of human experience is that of being a bounded and embodied agent. This basic sense of self typically operates implicitly, yet traditional contemplative accounts alongside recent ...",Self-reflection,
10.31234/osf.io/2qhbw,Tracking Acquisition of Language in Kids (TALK) Study Protocol: A longitudinal investigation of infants at High vs. Low risk for atypical speech and language development,"The sensitive period for phonetic learning, normally considered to be between 6 to 12 months of age, has been demonstrated as one of the earliest milestones for language development. Infant speech pro...",,
10.31234/osf.io/zeprf,Does distilling Bayesian priors into language models support rapid language learning?  Comment on McCoy and Griffiths (2025),Language models (LMs) are typically trained on orders of magnitude more language data than children are exposed to.1 Although there have been several attempts to show that LMs with no language-specifi...,,
10.31234/osf.io/8tvdz,The Urgency Loop: A Trauma-Primed Reinforcement Cycle in Dually Involved Youth,"Youth who are simultaneously engaged in both the juvenile justice and child welfare systems—commonly referred to as dually involved youth—face disproportionately high rates of trauma exposure, psychia...",,
10.31234/osf.io/heaf8,Deciphering the effects of incentive motivation on probabilistic judgments,"The ubiquity of over-optimism, overconfidence, wishful thinking and desirability biases suggest that a universal motivational mechanism distorts all decisions and judgments uniformly. Here, we investi...",Decision-making,Reward Mechanisms
10.31234/osf.io/4dvn3,Shedding Light on COVIS: Evidence from Optical Neuroimaging for Dissociable Category Learning Systems,The COVIS theory of category learning posits separate roles for two different category learning systems. An explicit system mediated by prefrontal regions is involved in learning rule-described catego...,Skill Learning,
10.31234/osf.io/h54k8,A general method for estimating reliability using Bayesian Measurement Uncertainty,"Unreliable measurement can lead to lower statistical power, attenuated effect sizes and residual confounding. However, estimating reliability can be challenging for complex cognitive and behavioural a...",,
10.31234/osf.io/nk3ty,Olfactory notes in the mind space,"Olfaction is one of our most archaic senses but its central mechanisms are lesser known than those of other senses. In this work, we address a possible link between olfactory stimuli and mental spatia...",,
10.31234/osf.io/evfg3,Towards a computational phenomenology of meditative deconstruction: modelling ‘letting go’ and the deconstruction of experience with active inference,"Meditative experience has long been associated with conceptual attenuation, reduced reactivity to phenomena, increased present moment perception and more pleasant experience. However, the computationa...",,
10.31234/osf.io/whqdp,Neural effects and phenomenology of nondual meditation and 5-MeO-DMT in an expert meditation practitioner,"Meditation and psychedelics have separately been studied as powerful tools for probing consciousness through their capacity to deconstruct the sense of self. Yet, direct empirical comparisons remain s...",Self-reflection,
10.31234/osf.io/v9rbd,Auditory affective experiences as a window into the neural basis of consciousness,"Research on relatively simple forms of visual perception with limited emotional content has dominated the empirical and theoretical efforts to identify the neural basis of consciousness. In contrast, ...",,
10.31234/osf.io/a97xv,A Systematic Review of the Effects of Autism on Narrative Performance,Narrative tasks externalize language and social cognition providing a powerful window in individuals with autism spectrum disorder (ASD). This systematic review synthesizes previous research on the ef...,,
10.3758/s13428-025-02830-z,PupEyes: An Interactive Python Library for Eye Movement Data Processing,"We present PupEyes, an open-source Python package for preprocessing and visualizing pupil size and fixation data. PupEyes supports data collected from Eyelink and Tobii eye-trackers as well as any gen...",,
10.31234/osf.io/t8s9k,Seven questions on perceiving and understanding other minds,"In this paper we ask and try to answer seven questions, some bigger than others, on perceiving and understanding minds in others: 1) Do humans, animals, artificial agents have minds? Objectively and s...",Theory of Mind,
10.31234/osf.io/afh3d,Neural responses to state curiosity in young children,"Curiosity scaffolds children’s exploration and learning. Yet, the neural mechanisms of curiosity-modulated learning in children remain unclear. Here, we designed an fMRI task to test how curiosity, as...",Episodic Memory,Attention
10.31234/osf.io/d97bk,Neural Markers of Speech Processing During Inattentional Deafness,"Cognitive scientists have long debated the capabilities of non-conscious perception, defined as the level of processing of external stimuli that people do not consciously experience. While much is kno...",Attention,Language Comprehension
10.31234/osf.io/25wqu,Promoting social connectedness through inter-brain neurofeedback,"Humans are inherently driven to build meaningful relationships, but attempts to socially connect with others are not always successful. This study investigates whether social connectedness can be impr...",Social Functions,
